1619698706.382825, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13461936 lastrcv:13461936 lastack:13461936 unacked:1 rcv_ssthresh:42340
1619698707.472604, 	 reno wscale:8,9 rto:648 rtt:446.042/0.453 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:528 ssthresh:368 bytes_acked:1051249 segs_out:1532 segs_in:303 data_segs_out:1530 send 13.7Mbps lastsnd:4 lastrcv:1080 lastack:4 pacing_rate 22.9Mbps delivery_rate 9.5Mbps busy:1080ms unacked:735 retrans:69/69 lost:138 sacked:138 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.501980, 	 reno wscale:8,9 rto:648 rtt:446.497/0.693 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:497 ssthresh:368 bytes_acked:1051249 segs_out:1543 segs_in:310 data_segs_out:1541 send 12.9Mbps lastrcv:1104 pacing_rate 22.9Mbps delivery_rate 9.5Mbps busy:1104ms unacked:735 retrans:80/80 lost:159 sacked:159 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.530690, 	 reno wscale:8,9 rto:652 rtt:448.209/2.038 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:467 ssthresh:368 bytes_acked:1051249 segs_out:1555 segs_in:318 data_segs_out:1553 send 12.1Mbps lastsnd:4 lastrcv:1136 lastack:4 pacing_rate 22.8Mbps delivery_rate 9.6Mbps busy:1136ms unacked:735 retrans:92/92 lost:177 sacked:183 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.558336, 	 reno wscale:8,9 rto:652 rtt:449.347/1.157 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:431 ssthresh:368 bytes_acked:1051249 segs_out:1567 segs_in:326 data_segs_out:1565 send 11.1Mbps lastsnd:4 lastrcv:1164 lastack:4 pacing_rate 22.7Mbps delivery_rate 9.5Mbps busy:1164ms unacked:735 retrans:104/104 lost:201 sacked:207 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.585243, 	 reno wscale:8,9 rto:652 rtt:449.719/1.066 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:399 ssthresh:368 bytes_acked:1051249 segs_out:1577 segs_in:333 data_segs_out:1575 send 10.3Mbps lastrcv:1188 pacing_rate 22.7Mbps delivery_rate 9.5Mbps busy:1188ms unacked:735 retrans:114/114 lost:222 sacked:228 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.612295, 	 reno wscale:8,9 rto:652 rtt:449.272/0.898 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:365 ssthresh:368 bytes_acked:1051249 segs_out:1591 segs_in:341 data_segs_out:1589 send 9.4Mbps lastrcv:1216 pacing_rate 22.7Mbps delivery_rate 9.5Mbps busy:1216ms unacked:735 retrans:128/128 lost:246 sacked:252 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.640259, 	 reno wscale:8,9 rto:652 rtt:449.208/0.964 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:341 ssthresh:368 bytes_acked:1051249 segs_out:1615 segs_in:349 data_segs_out:1613 send 8.8Mbps lastrcv:1244 pacing_rate 22.7Mbps delivery_rate 9.5Mbps busy:1244ms unacked:735 retrans:152/152 lost:270 sacked:276 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.669299, 	 reno wscale:8,9 rto:652 rtt:449.67/1.039 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:320 ssthresh:368 bytes_acked:1051249 segs_out:1636 segs_in:356 data_segs_out:1634 send 8.2Mbps lastsnd:4 lastrcv:1272 lastack:4 pacing_rate 22.7Mbps delivery_rate 9.5Mbps busy:1272ms unacked:735 retrans:173/173 lost:291 sacked:297 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.696406, 	 reno wscale:8,9 rto:652 rtt:450.808/0.895 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:296 ssthresh:368 bytes_acked:1051249 segs_out:1663 segs_in:365 data_segs_out:1661 send 7.6Mbps lastrcv:1304 pacing_rate 22.7Mbps delivery_rate 9.5Mbps busy:1304ms unacked:735 retrans:200/200 lost:315 sacked:324 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.728523, 	 reno wscale:8,9 rto:652 rtt:451.666/1.877 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:278 ssthresh:368 bytes_acked:1051249 segs_out:1687 segs_in:373 data_segs_out:1685 send 7.1Mbps lastrcv:1332 pacing_rate 22.6Mbps delivery_rate 9.5Mbps busy:1332ms unacked:735 retrans:224/224 lost:333 sacked:348 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.756509, 	 reno wscale:8,9 rto:652 rtt:451.574/1.734 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:251 ssthresh:368 bytes_acked:1051249 segs_out:1711 segs_in:381 data_segs_out:1709 send 6.4Mbps lastrcv:1360 pacing_rate 22.6Mbps delivery_rate 9.6Mbps busy:1360ms unacked:735 retrans:248/248 lost:360 sacked:372 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.784481, 	 reno wscale:8,9 rto:640 rtt:436.122/4.219 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:368 ssthresh:368 bytes_acked:1114961 segs_out:1854 segs_in:396 data_segs_out:1852 send 9.8Mbps lastrcv:1392 pacing_rate 22.9Mbps delivery_rate 9.0Mbps busy:1392ms unacked:719 retrans:340/363 lost:340 sacked:351 rcv_space:14480 rcv_ssthresh:42242 notsent:4733512 minrtt:21.324
1619698707.814483, 	 reno wscale:8,9 rto:628 rtt:426.486/5.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:367 ssthresh:368 bytes_acked:1141025 segs_out:1877 segs_in:411 data_segs_out:1875 send 10.0Mbps lastrcv:1420 pacing_rate 23.5Mbps delivery_rate 8.4Mbps busy:1420ms unacked:723 retrans:317/364 lost:317 sacked:356 rcv_space:14480 rcv_ssthresh:42242 notsent:4701656 minrtt:21.324
1619698707.842439, 	 reno wscale:8,9 rto:628 rtt:426.486/5.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:367 ssthresh:368 bytes_acked:1141025 segs_out:1899 segs_in:426 data_segs_out:1897 send 10.0Mbps lastrcv:1444 pacing_rate 24.2Mbps delivery_rate 7.8Mbps busy:1444ms unacked:745 retrans:295/364 lost:295 sacked:378 rcv_space:14480 rcv_ssthresh:42242 notsent:4669800 minrtt:21.324
1619698707.871442, 	 reno wscale:8,9 rto:628 rtt:426.486/5.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:367 ssthresh:368 bytes_acked:1141025 segs_out:1923 segs_in:442 data_segs_out:1921 send 10.0Mbps lastrcv:1476 pacing_rate 25.0Mbps delivery_rate 7.1Mbps busy:1476ms unacked:769 retrans:271/364 lost:271 sacked:402 rcv_space:14480 rcv_ssthresh:42242 notsent:4635048 minrtt:21.324
1619698707.898334, 	 reno wscale:8,9 rto:628 rtt:426.486/5.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:367 ssthresh:368 bytes_acked:1141025 segs_out:1947 segs_in:458 data_segs_out:1945 send 10.0Mbps lastrcv:1504 pacing_rate 25.8Mbps delivery_rate 6.6Mbps busy:1504ms unacked:793 retrans:247/364 lost:247 sacked:426 rcv_space:14480 rcv_ssthresh:42242 notsent:4600296 minrtt:21.324
1619698707.927466, 	 reno wscale:8,9 rto:628 rtt:426.486/5.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:345 ssthresh:368 bytes_acked:1141025 segs_out:1970 segs_in:476 data_segs_out:1968 send 9.4Mbps lastrcv:1532 pacing_rate 26.2Mbps delivery_rate 5.8Mbps busy:1532ms unacked:804 retrans:214/376 lost:224 sacked:449 rcv_space:14480 rcv_ssthresh:42242 notsent:4584368 minrtt:21.324
1619698707.955360, 	 reno wscale:8,9 rto:628 rtt:426.486/5.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:306 ssthresh:368 bytes_acked:1141025 segs_out:1993 segs_in:497 data_segs_out:1991 send 8.3Mbps lastsnd:4 lastrcv:1560 lastack:4 pacing_rate 26.2Mbps delivery_rate 4.7Mbps busy:1560ms unacked:804 retrans:175/399 lost:201 sacked:472 rcv_space:14480 rcv_ssthresh:42242 notsent:4584368 minrtt:21.324
1619698707.984535, 	 reno wscale:8,9 rto:500 rtt:297.03/33.579 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:176 ssthresh:368 bytes_acked:1141025 segs_out:2019 segs_in:517 data_segs_out:2017 send 6.9Mbps lastrcv:1588 pacing_rate 62.7Mbps delivery_rate 4.6Mbps busy:1588ms unacked:804 retrans:62/425 lost:192 sacked:498 rcv_space:14480 rcv_ssthresh:42242 notsent:4584368 minrtt:21.324
1619698708.013469, 	 reno wscale:8,9 rto:424 rtt:221.022/18.429 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:179 ssthresh:368 bytes_acked:1419041 segs_out:2047 segs_in:533 data_segs_out:2045 send 9.4Mbps lastrcv:1616 pacing_rate 64.2Mbps delivery_rate 5.0Mbps busy:1616ms unacked:612 retrans:89/453 lost:193 sacked:329 rcv_space:14480 rcv_ssthresh:42242 notsent:4584368 minrtt:21.324
1619698708.039739, 	 reno wscale:8,9 rto:412 rtt:211.846/3.507 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:179 ssthresh:368 bytes_acked:1419041 segs_out:2068 segs_in:547 data_segs_out:2066 send 9.8Mbps lastsnd:4 lastrcv:1644 lastack:4 pacing_rate 66.9Mbps delivery_rate 5.3Mbps busy:1644ms unacked:612 retrans:110/474 lost:193 sacked:350 rcv_space:14480 rcv_ssthresh:42242 notsent:4584368 minrtt:21.324
1619698708.067225, 	 reno wscale:8,9 rto:412 rtt:210.916/0.583 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:179 ssthresh:368 bytes_acked:1419041 segs_out:2090 segs_in:562 data_segs_out:2088 send 9.8Mbps lastrcv:1672 pacing_rate 67.2Mbps delivery_rate 5.7Mbps busy:1672ms unacked:612 retrans:132/496 lost:193 sacked:372 rcv_space:14480 rcv_ssthresh:42242 notsent:4584368 minrtt:21.324
1619698708.094542, 	 reno wscale:8,9 rto:412 rtt:210.621/0.534 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:179 ssthresh:368 bytes_acked:1419041 segs_out:2113 segs_in:577 data_segs_out:2111 send 9.8Mbps lastsnd:4 lastrcv:1700 lastack:4 pacing_rate 67.3Mbps delivery_rate 6.2Mbps busy:1700ms unacked:612 retrans:155/519 lost:193 sacked:395 rcv_space:14480 rcv_ssthresh:42242 notsent:4584368 minrtt:21.324
